State,Date,Hourly Demand Met (in MW)
Delhi - 2022,01-Jan 12am,2024.56
Delhi - 2022,01-Jan 1am,1795.53
Delhi - 2022,01-Jan 2am,1654.96
Delhi - 2022,01-Jan 3am,1583.93
Delhi - 2022,01-Jan 4am,1641.72
Delhi - 2022,01-Jan 5am,1910.09
Delhi - 2022,01-Jan 6am,2518.63
Delhi - 2022,01-Jan 7am,3289.54
Delhi - 2022,01-Jan 8am,3921.81
Delhi - 2022,01-Jan 9am,4214.03
Delhi - 2022,01-Jan 10am,4434.96
Delhi - 2022,01-Jan 11am,4351.70
Delhi - 2022,01-Jan 12pm,3998.65
Delhi - 2022,01-Jan 1pm,3553.99
Delhi - 2022,01-Jan 2pm,3272.15
Delhi - 2022,01-Jan 3pm,3048.00
Delhi - 2022,01-Jan 4pm,2978.41
Delhi - 2022,01-Jan 5pm,3107.56
Delhi - 2022,01-Jan 6pm,3286.82
Delhi - 2022,01-Jan 7pm,3204.24
Delhi - 2022,01-Jan 8pm,3045.67
Delhi - 2022,01-Jan 9pm,2882.11
Delhi - 2022,01-Jan 10pm,2610.17
Delhi - 2022,01-Jan 11pm,2181.21
Delhi - 2022,02-Jan 12am,1813.69
Delhi - 2022,02-Jan 1am,1595.92
Delhi - 2022,02-Jan 2am,1497.11
Delhi - 2022,02-Jan 3am,1467.48
Delhi - 2022,02-Jan 4am,1510.57
Delhi - 2022,02-Jan 5am,1724.48
Delhi - 2022,02-Jan 6am,2174.58
Delhi - 2022,02-Jan 7am,2827.55
Delhi - 2022,02-Jan 8am,3426.97
Delhi - 2022,02-Jan 9am,3777.98
Delhi - 2022,02-Jan 10am,4055.40
Delhi - 2022,02-Jan 11am,3972.38
Delhi - 2022,02-Jan 12pm,3732.61
Delhi - 2022,02-Jan 1pm,3303.82
Delhi - 2022,02-Jan 2pm,3086.87
Delhi - 2022,02-Jan 3pm,2897.79
Delhi - 2022,02-Jan 4pm,2856.76
Delhi - 2022,02-Jan 5pm,3057.64
Delhi - 2022,02-Jan 6pm,3312.30
Delhi - 2022,02-Jan 7pm,3253.85
Delhi - 2022,02-Jan 8pm,3086.75
Delhi - 2022,02-Jan 9pm,2919.94
Delhi - 2022,02-Jan 10pm,2634.18
Delhi - 2022,02-Jan 11pm,2177.09
Delhi - 2022,03-Jan 12am,1807.66
Delhi - 2022,03-Jan 1am,1599.33
Delhi - 2022,03-Jan 2am,1514.65
Delhi - 2022,03-Jan 3am,1479.65
Delhi - 2022,03-Jan 4am,1536.54
Delhi - 2022,03-Jan 5am,1823.52
Delhi - 2022,03-Jan 6am,2428.67
Delhi - 2022,03-Jan 7am,3324.04
Delhi - 2022,03-Jan 8am,3998.92
Delhi - 2022,03-Jan 9am,4326.83
Delhi - 2022,03-Jan 10am,4468.90
Delhi - 2022,03-Jan 11am,4299.92
Delhi - 2022,03-Jan 12pm,4059.03
Delhi - 2022,03-Jan 1pm,3566.24
Delhi - 2022,03-Jan 2pm,3396.15
Delhi - 2022,03-Jan 3pm,3277.94
Delhi - 2022,03-Jan 4pm,3225.09
Delhi - 2022,03-Jan 5pm,3399.97
Delhi - 2022,03-Jan 6pm,3656.89
Delhi - 2022,03-Jan 7pm,3543.97
Delhi - 2022,03-Jan 8pm,3244.93
Delhi - 2022,03-Jan 9pm,3025.75
Delhi - 2022,03-Jan 10pm,2699.33
Delhi - 2022,03-Jan 11pm,2252.29
Delhi - 2022,04-Jan 12am,1869.64
Delhi - 2022,04-Jan 1am,1656.59
Delhi - 2022,04-Jan 2am,1568.88
Delhi - 2022,04-Jan 3am,1526.74
Delhi - 2022,04-Jan 4am,1586.11
Delhi - 2022,04-Jan 5am,1837.37
Delhi - 2022,04-Jan 6am,2441.21
Delhi - 2022,04-Jan 7am,3343.81
Delhi - 2022,04-Jan 8am,3994.42
Delhi - 2022,04-Jan 9am,4266.83
Delhi - 2022,04-Jan 10am,4435.43
Delhi - 2022,04-Jan 11am,4324.88
Delhi - 2022,04-Jan 12pm,3996.09
Delhi - 2022,04-Jan 1pm,3672.41
Delhi - 2022,04-Jan 2pm,3390.66
Delhi - 2022,04-Jan 3pm,3286.30
Delhi - 2022,04-Jan 4pm,3235.02
Delhi - 2022,04-Jan 5pm,3381.97
Delhi - 2022,04-Jan 6pm,3654.82
Delhi - 2022,04-Jan 7pm,3684.53
Delhi - 2022,04-Jan 8pm,3495.31
Delhi - 2022,04-Jan 9pm,3138.29
Delhi - 2022,04-Jan 10pm,2664.59
Delhi - 2022,04-Jan 11pm,2179.75
Delhi - 2022,05-Jan 12am,1820.20
Delhi - 2022,05-Jan 1am,1625.55
Delhi - 2022,05-Jan 2am,1540.10
Delhi - 2022,05-Jan 3am,1503.36
Delhi - 2022,05-Jan 4am,1572.04
Delhi - 2022,05-Jan 5am,1845.55
Delhi - 2022,05-Jan 6am,2476.61
Delhi - 2022,05-Jan 7am,3277.77
Delhi - 2022,05-Jan 8am,3932.95
Delhi - 2022,05-Jan 9am,4174.56
Delhi - 2022,05-Jan 10am,4269.62
Delhi - 2022,05-Jan 11am,4307.59
Delhi - 2022,05-Jan 12pm,4168.12
Delhi - 2022,05-Jan 1pm,3800.98
Delhi - 2022,05-Jan 2pm,3698.15
